id,word,wordtype,wordmeaning
424,binding machine,noun," any machine used to bind pages together, normally used to refer to a small machine used to create inexpensive binding (such as comb-binding) in the home or office"
425,binding offset,noun,an extra wide margin on the inside of a printed page to prevent text being hidden during binding
426,binding order,noun,a request from a publisher to a binder to bind a particular number of copies of a book
427,binding shope,noun, the section of a printing factory where the books are bound
428,biographee,noun, somebody whose life is described in a biograph
429,biographer,noun,a person who writes the story of somebody's life
430,biographical,adjetive,referring to the story of somebody's life  
431,biography,noun, an account of somebody's life and work written by another person
432,bit,noun," a binary digit, 0 or 1"
433,black list,noun," a list of companies, countries or people who are banned from trading or using goods or services"
434,blackout,noun,"the withholding of news or information about a subject, especially by official sources"
435, blue-pencil,verb," to edit a piece of writing by marking it, in order to shorten, censor or delete it"
436,blueprint,noun, 1. a photographic copy of construction plans usually printed in white on blue paper 2. a detailed plan of something
437,blueprint paper,noun,"special coated paper, used to make blueprints.  "
438,blur,noun, an image where the edges or colours are not clear
439,blurb,noun," a short piece of writing that praises and promotes something, especially a paragraph on the cover of a book"
440,blurbwriter,noun," a person, usually a member of an advertising department, who writes blurbs for books"
441,blurred,adjetive, unclear because there is no distinct outline
442,.bmp,suffix, a file extension for a bit map file.  Often used with photographic images because it can show subtle gradients in color. 
443,bond paper,noun," goodquality paper weighing 60�100gsm, often used for correspondence"
444,book,noun,"a collection of pages containing text and sometimes pictures, bound together inside a cove"
445,book auction,noun," a sale of secondhand or rare books, where buyers bid for the books, the person making the highest bid buying the book"
446,book auction house,noun, a company that specialises in the sale of old books by auction
447,bookbinder ,noun," somebody who binds books, especially as a profession"
448,bookbinding,noun, the art of binding books
449,book block,noun,"a book that has been printed, folded, gathered and sewn ready for binding. Also called text block"
450,book bus,noun,a bus converted to act as a mobile library usually in residential areas
451,bookbuyer,noun,"a person who buys books, especially wholesale for a large bookshop"
452,bookcase,noun, a piece of furniture with shelves for books
453,book cloth,noun," a covering material for cased books, especially library editions"
454,book cover,noun,"a paper cover which is put on a book to protect it or to make it attractive. Also called book jacket, book wrapper"
455,book design,noun," the design of a book, both the typography and the page layout"
456,book designer,noun,a person who designs books
457,BookExpo America,noun," a book fair held in Chicago in May/June, formerly called the 'ABA'"
458,book export,noun,a book produced in one country and sold in another
459,book fair,noun,"a trade exhibition with the object of publicising, selling and exchanging books"
460,book inks,plural noun,inks that are used for printing the text of books
461,book jacket,noun,a hard book cover usually used as an advertising tool
462,book learning,noun,knowledge obtained from books instead of from experience
463,booklet,noun," a small book with a paper cover, often used for information"
464,book list,noun, a list of books on a specific subject or by a particular author
465,booklore,noun,"information about books, especially their authors and the circumstances of their publication"
466,bookmaker,noun," a book designer, printer or binder"
467,bookmark,noun,"1. a narrow strip of material or paper used to mark the place in a book where the reader has stopped reading temporarily 
2. a code used by a multimedia title or web browser that allows the user to go back to the same point again in the future 
3. the address of an Internet site, saved so that the user can easily return to the site"
